"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"DEOGEN2_rankscore",0.4,15368,0.803162415408641,0.979772961816305,0.501761183515322,0.77042927858476,0.86258120201699,0.583088932233388,0.93275562333719
"DEOGEN2_rankscore",0.5,15368,0.830231650182197,0.960577915376677,0.607784431137725,0.806935413957521,0.877078916372203,0.634025422552559,0.93275562333719
"DEOGEN2_rankscore",0.6,15368,0.852290473711608,0.938080495356037,0.705882352941177,0.844795539033457,0.888997555012225,0.67835655251453,0.93275562333719
"DEOGEN2_rankscore",0.7,15368,0.864653826132223,0.902167182662539,0.800634026065516,0.885355479035852,0.893682273563688,0.707784737517003,0.93275562333719
"DEOGEN2_rankscore",0.8,15368,0.848906819364914,0.831475748194014,0.878654455794294,0.921221129659273,0.874050770232155,0.69214684373837,0.93275562333719
"DEOGEN2_rankscore",0.9,15368,0.792425819885476,0.702683178534572,0.945579429376541,0.956588929474572,0.81020942408377,0.627486791660943,0.93275562333719
"AlphaMissense_rankscore",0.4,15843,0.779397841317932,0.86466317063332,0.636747089590012,0.799291507411205,0.830693213195756,0.518889079923744,0.839128466532403
"AlphaMissense_rankscore",0.5,15843,0.784762986808054,0.82250907624042,0.721612957651426,0.831735672037528,0.82709664334246,0.542157541226087,0.839128466532403
"AlphaMissense_rankscore",0.6,15843,0.769551221359591,0.756353368293667,0.791631516787582,0.858614768174013,0.804246421103426,0.533149661815078,0.839128466532403
"AlphaMissense_rankscore",0.7,15843,0.735529887016348,0.662968939088342,0.856925932174793,0.885745082188089,0.758334294612989,0.504149043021051,0.839128466532403
"AlphaMissense_rankscore",0.8,15843,0.669948873319447,0.522488906817265,0.916652606715033,0.91295154185022,0.664614200500289,0.443189553831222,0.839128466532403
"AlphaMissense_rankscore",0.9,15843,0.546171810894401,0.295179507866075,0.966087396659356,0.93574168797954,0.448788715118062,0.31759859171418,0.839128466532403
"MutScore_rankscore",0.4,15785,0.790117199873297,0.930721981673547,0.551588657328323,0.778816986855409,0.84802055140144,0.539366709018651,0.903313964751043
"MutScore_rankscore",0.5,15785,0.811403230915426,0.906655925888632,0.649812094294499,0.814546770399855,0.858136764355492,0.586714547535792,0.903313964751043
"MutScore_rankscore",0.6,15785,0.82768451061134,0.878864162722787,0.74086094977793,0.851927769643729,0.865186360031721,0.627207266544752,0.903313964751043
"MutScore_rankscore",0.7,15785,0.832625910674691,0.84200986808982,0.816706525452682,0.886274509803922,0.863575338221626,0.64887868311871,0.903313964751043
"MutScore_rankscore",0.8,15785,0.822869813113716,0.784513140670627,0.88793987017424,0.922339292056351,0.847861573620633,0.651245434345707,0.903313964751043
"MutScore_rankscore",0.9,15785,0.776940133037694,0.675460678682912,0.949094636146225,0.957465029974308,0.792111944264037,0.607206158183057,0.903313964751043
"CADD_raw_rankscore",0.4,15923,0.755699302895183,0.889612993783838,0.531181711211968,0.760847196021266,0.820207062303568,0.45981660130345,0.798767137472203
"CADD_raw_rankscore",0.5,15923,0.7623563398857,0.842791257268899,0.627500420238696,0.791376388627377,0.816275004855312,0.482771816936991,0.798767137472203
"CADD_raw_rankscore",0.6,15923,0.751428750863531,0.771505915379988,0.717767692049084,0.820887561339876,0.795431052305148,0.481014852107259,0.798767137472203
"CADD_raw_rankscore",0.7,15923,0.697293223638762,0.635452175656707,0.800974953773744,0.84259505450678,0.72450845907636,0.422898601653249,0.798767137472203
"CADD_raw_rankscore",0.8,15923,0.606229981787352,0.440044114698215,0.88485459741133,0.864998029168309,0.583333333333333,0.33731415805859,0.798767137472203
"CADD_raw_rankscore",0.9,15923,0.458581925516548,0.157409264086625,0.963523281223735,0.878567431449356,0.266984099991497,0.185342200792839,0.798767137472203
